image,gender_status
n_00001.jpg,4
n_00002.jpg,0
n_00003.jpg,0
n_00005.jpg,0
n_00006.jpg,0
n_00007.jpg,3
n_00008.jpg,1
n_00010.jpg,2
n_00011.jpg,0
n_00012.jpg,0
n_00013.jpg,4
n_00014.jpg,1
n_00015.jpg,4
n_00016.jpg,0
n_00017.jpg,1
n_00018.jpg,1
n_00019.jpg,1
n_00020.jpg,0
n_00021.jpg,1
n_00022.jpg,1
n_00023.jpg,1
n_00024.jpg,0
n_00025.jpg,4
n_00027.jpg,7
n_00028.jpg,3
n_00029.jpg,4
n_00031.jpg,7
n_00033.jpg,0
n_00035.jpg,1
n_00036.jpg,0
n_00037.jpg,0
n_00039.jpg,1
n_00040.jpg,3
n_00041.jpg,0
n_00042.jpg,4
n_00043.jpg,1
n_00044.jpg,0
n_00045.jpg,3
n_00046.jpg,4
n_00047.jpg,2
n_00048.jpg,7
n_00049.jpg,7
n_00050.jpg,1
n_00051.jpg,1
n_00052.jpg,0
n_00053.jpg,1
n_00054.jpg,0
n_00055.jpg,1
n_00057.jpg,4
n_00058.jpg,0
n_00061.jpg,3
n_00062.jpg,0
n_00063.jpg,0
n_00064.jpg,4
n_00065.jpg,1
n_00066.jpg,6
n_00067.jpg,4
n_00068.jpg,2
n_00069.jpg,4
n_00071.jpg,3
n_00072.jpg,0
n_00073.jpg,4
n_00074.jpg,0
n_00076.jpg,1
n_00077.jpg,0
n_00078.jpg,2
n_00080.jpg,0
n_00081.jpg,1
n_00082.jpg,1
n_00083.jpg,1
n_00084.jpg,1
n_00085.jpg,2
n_00086.jpg,1
n_00087.jpg,1
n_00088.jpg,4
n_00089.jpg,3
n_00090.jpg,0
n_00092.jpg,4
n_00093.jpg,1
n_00095.jpg,0
n_00096.jpg,0
n_00097.jpg,0
n_00098.jpg,3
n_00099.jpg,1
n_00100.jpg,4
n_00101.jpg,0
n_00103.jpg,1
n_00104.jpg,0
n_00105.jpg,2
n_00106.jpg,4
n_00107.jpg,1
n_00108.jpg,1
n_00109.jpg,0
n_00110.jpg,2
n_00111.jpg,1
n_00112.jpg,3
n_00113.jpg,1
n_00114.jpg,0
n_00115.jpg,4
n_00117.jpg,0
n_00118.jpg,1
n_00119.jpg,0
n_00120.jpg,1
n_00121.jpg,4
n_00122.jpg,2
n_00123.jpg,0
